Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2020-09-14T20:00:00Z,MA,332.2230916,1,Market On Open,Filled,332.2230916, 
2020-09-21T20:00:00Z,UNH,0,-2,Market On Open,Canceled,0,Liquidated 
2020-09-21T20:00:00Z,UNH,271.9827867,-2,Market On Open,Filled,-543.9655733,Liquidated 
2020-09-21T20:00:00Z,ZM,477,-5,Market On Open,Filled,-2385, 
2020-09-21T20:00:00Z,TSLA,143.0899857,3,Market On Open,Filled,429.2699571, 
2020-09-21T20:00:00Z,CRM,243.1698696,4,Market On Open,Filled,972.6794784, 
2020-09-21T20:00:00Z,MU,48.05240034,48,Market On Open,Filled,2306.515217, 
2020-10-05T20:00:00Z,MU,46.37490636,-48,Market On Open,Filled,-2225.995505,Liquidated 
2020-10-05T20:00:00Z,ROKU,203.69,25,Market On Open,Filled,5092.25, 
2020-10-05T20:00:00Z,AMD,86.19,22,Market On Open,Filled,1896.18, 
2020-10-05T20:00:00Z,NVDA,13.78217468,62,Market On Open,Filled,854.4948302, 
2020-10-05T20:00:00Z,SHOP,106.6,15,Market On Open,Filled,1599, 
2020-10-08T20:00:00Z,ROKU,226.05,32,Market On Open,Filled,7233.6, 
2020-10-08T20:00:00Z,ZM,488,3,Market On Open,Filled,1464, 
2020-10-08T20:00:00Z,TSLA,143.3766523,2,Market On Open,Filled,286.7533047, 
2020-10-08T20:00:00Z,AMD,84.76,-9,Market On Open,Filled,-762.84, 
2020-10-08T20:00:00Z,NVDA,13.71464065,-49,Market On Open,Filled,-672.017392, 
2020-10-08T20:00:00Z,SHOP,107.258,-2,Market On Open,Filled,-214.516, 
2020-10-08T20:00:00Z,CRM,259.0960473,-10,Market On Open,Filled,-2590.960473, 
2020-10-12T20:00:00Z,ROKU,221.21,2,Market On Open,Filled,442.42, 
2020-10-12T20:00:00Z,ZM,494,7,Market On Open,Filled,3458, 
2020-10-12T20:00:00Z,TSLA,147.8466519,13,Market On Open,Filled,1922.006474, 
2020-10-12T20:00:00Z,SHOP,109.906,25,Market On Open,Filled,2747.65, 
2020-10-12T20:00:00Z,NVDA,14.23946228,52,Market On Open,Filled,740.4520384, 
2020-10-12T20:00:00Z,AMD,85.05,-9,Market On Open,Filled,-765.45, 
2020-10-12T20:00:00Z,AAPL,121.4135378,-6,Market On Open,Filled,-728.4812266, 
2020-10-15T20:00:00Z,ZM,544.07,1,Market On Open,Filled,544.07, 
2020-10-15T20:00:00Z,TSLA,151.3999849,4,Market On Open,Filled,605.5999394, 
2020-10-15T20:00:00Z,SHOP,108.5,3,Market On Open,Filled,325.5, 
2020-10-15T20:00:00Z,NVDA,14.02340323,16,Market On Open,Filled,224.3744517, 
2020-10-15T20:00:00Z,PYPL,203.8600759,10,Market On Open,Filled,2038.600759, 
2020-10-15T20:00:00Z,AMD,83.74,-4,Market On Open,Filled,-334.96, 
2020-10-19T20:00:00Z,ZM,572.33,-2,Market On Open,Filled,-1144.66, 
2020-10-19T20:00:00Z,ROKU,223.63,-3,Market On Open,Filled,-670.89, 
2020-10-19T20:00:00Z,SHOP,106.8,27,Market On Open,Filled,2883.6, 
2020-10-19T20:00:00Z,NVDA,13.53272243,110,Market On Open,Filled,1488.599467, 
